WHO Country Name,Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3)
France,2014,9.02,32.15,20.2
France,2015,12.965825242718447,20.52718446601942,23.04145631067961
France,2016,11.868222222222224,18.719,22.62611111111111
France,2017,11.228181818181817,18.861919191919192,22.15010101010101
France,2018,10.587184466019417,18.170582524271843,20.313980582524273
France,2019,9.606126126126126,17.354864864864865,18.79927927927928
Germany,2010,17.42128205128205,23.71807692307692,29.848846153846154
Germany,2013,13.427173913043477,19.777608695652173,27.857608695652175
Germany,2014,14.167565217391305,20.51182608695652,26.74313043478261
Germany,2015,12.714545454545455,19.19611570247934,26.085371900826445
Germany,2016,12.313416666666665,17.839833333333335,25.3365
Germany,2017,12.127734375,17.63609375,23.731484375
Germany,2018,12.57469696969697,18.55060606060606,22.848939393939393
Germany,2019,10.359347826086957,16.100072463768115,20.67478260869565
Greece,2013,10.02,26.5,8.35
Greece,2015,18.845,38.635000000000005,35.195
Greece,2016,18.288,32.882,33.08
Greece,2017,15.85142857142857,27.279999999999998,31.06714285714286
Greece,2018,17.774,33.428,38.284000000000006
Greece,2019,18.331666666666667,31.501666666666665,28.086666666666662
Hungary,2010,21.6425,31.0925,27.6075
Hungary,2013,17.023333333333333,25.606666666666666,20.02
Hungary,2014,15.8525,25.4,21.045
Hungary,2016,10.13,20.13,27.34
Hungary,2017,14.85,27.75,21.835
Hungary,2018,18.578333333333333,27.43166666666667,21.758333333333336
Hungary,2019,14.804285714285713,23.48857142857143,20.145714285714288
Iceland,2010,7.735,15.02,7.94
Iceland,2015,6.43,9.5225,11.4525
Iceland,2016,6.695,8.907499999999999,8.215
Iceland,2017,5.2,8.154285714285715,6.387142857142857
Iceland,2018,4.333333333333333,8.553333333333333,6.5683333333333325
Iceland,2019,3.9879999999999995,7.436,5.552
Ireland,2010,11.16,15.81,28.89
Ireland,2013,9.52,14.67,17.79
Ireland,2014,9.51,14.65,9.4
Ireland,2015,6.945,12.54,8.465
Ireland,2016,7.29,12.983333333333334,18.853333333333335
Ireland,2017,6.493333333333333,12.543333333333335,18.563333333333333
Ireland,2018,7.62,14.469999999999999,16.215
Ireland,2019,8.5725,15.022499999999999,24.457500000000003
Italy,2010,20.034202898550724,28.89,31.891884057971016
Italy,2013,18.306153846153848,26.543076923076924,27.432564102564104
Italy,2014,16.14320895522388,24.337985074626864,24.77074626865672
Italy,2015,18.565889570552145,27.285153374233126,24.997423312883434
Italy,2016,16.343809523809522,24.492857142857144,23.242916666666666
Italy,2017,17.02686170212766,25.991808510638297,23.80468085106383
Italy,2018,15.079356435643565,23.701237623762374,20.25391089108911
Italy,2019,14.300048309178745,23.094782608695652,20.378067632850243
Jordan,2019,26.83,59.13,27.04
Latvia,2013,14.100000000000001,21.9925,16.925
Latvia,2014,16.716,24.836000000000002,16.704
Latvia,2015,16.195,22.645,19.045
Latvia,2016,13.797999999999998,19.234,13.074000000000002
Latvia,2017,13.3725,19.055,12.110000000000001
Latvia,2018,14.168000000000001,21.872,13.937999999999999
Latvia,2019,11.434000000000001,19.875999999999998,13.040000000000001
Lithuania,2010,15.856666666666667,27.80333333333333,18.643333333333334
Lithuania,2013,16.432499999999997,26.88,16.5225
Lithuania,2014,15.213999999999999,29.426,17.74
Lithuania,2015,13.339999999999998,26.526,17.284
Lithuania,2016,11.638,23.206,18.491999999999997
Lithuania,2017,12.855,22.34,17.22
Lithuania,2018,14.685,26.445,19.0325
Lithuania,2019,14.0,26.19,16.9075
Luxembourg,2010,14.073333333333332,19.126666666666665,30.723333333333333
Luxembourg,2013,16.36,17.080000000000002,33.495000000000005
Luxembourg,2014,11.605,18.255,24.195
